num_layers,test_size,mae,variance
1,0.1,8.222666950523854,2.0499108
1,0.2,8.511044509803192,1.8328929
1,0.5,8.029810880019207,0.9906946
1,0.8,8.943731970000494,0.82726383
1,0.9,8.795444158020985,1.3646772
2,0.1,7.72866031229496,2.8768947
2,0.2,6.106987562360643,4.214092
2,0.5,5.9001717760105326,4.4992304
2,0.8,5.391769619870789,7.0709925
2,0.9,6.702945722287961,5.0748053
4,0.1,7.709050092101097,2.2064264
4,0.2,10.60227566655678,2.220446e-16
4,0.5,6.966056795433314,1.4947083
4,0.8,7.358849440571628,4.0400095
4,0.9,10.832099383801557,8.881784e-16
6,0.1,10.042288541793823,0.0
6,0.2,10.113259826279894,0.020011082
6,0.5,10.50512225850664,8.881784e-16
6,0.8,9.913150757173948,3.5527137e-15
6,0.9,10.911451136798002,3.5527137e-15
8,0.1,9.72136549949646,0.0
8,0.2,11.299891542784776,0.0
8,0.5,10.528032764039859,3.5527137e-15
8,0.8,10.151205435866796,1.1285354e-09
8,0.9,9.892457268880994,3.5527137e-15
10,0.1,10.093960428237915,0.0
10,0.2,10.042603178869319,3.5527137e-15
10,0.5,9.540922945195978,1.4210855e-14
10,0.8,11.152274075942703,3.5527137e-15
10,0.9,10.178204969743664,8.881784e-16
12,0.1,9.677831745147705,0.0
12,0.2,10.056258608268786,1.4210855e-14
12,0.5,9.831069035963578,3.5527137e-15
12,0.8,10.310424349730528,2.220446e-16
12,0.9,9.776379130864411,1.4210855e-14
