test_size,mae,variance
0.1,0.006627587522896769,0.05683623994880619
0.2,0.0069518406242554676,0.059447373983484784
0.5,0.00720537668596992,0.059410874441437576
0.8,0.009501541533321497,0.06182422302220173
0.9,0.01347575905199191,0.062074603239543946
