size,sparsity,num_layers,mae,smape,variance
0.5,0.0,1,1641.7889746042836,189.10671472549438,0.08881524
0.5,0.0,2,1641.6835018724084,188.9790177345276,0.006270096
0.5,0.0,4,1641.8672344257157,189.2953872680664,0.00051442976
0.5,0.0,6,1642.0347598083465,189.60528373718262,5.1180014e-05
0.5,0.0,8,1641.1791246079829,188.0776047706604,6.54741e-06
0.5,0.0,10,1640.997679104368,187.76062726974487,4.774958e-07
0.5,0.25,1,1641.9155698829438,189.3541932106018,0.046025213
0.5,0.25,2,1641.7703526371504,189.120352268219,0.0065805074
0.5,0.25,4,1641.2765343122749,188.24636936187744,0.00049260224
0.5,0.25,6,1642.1409491751774,189.79930877685547,2.6005562e-05
0.5,0.25,8,1641.1616680042678,188.04659843444824,1.1131529e-05
0.5,0.25,10,1642.6189257082235,190.68264961242676,8.291322e-07
0.5,0.5,1,1642.4069946980571,190.27321338653564,0.0376529
0.5,0.5,2,1642.5940157455277,190.62259197235107,0.008262171
0.5,0.5,4,1641.2452819413872,188.19239139556885,0.00028271123
0.5,0.5,6,1642.2312623343146,189.96644020080566,8.563092e-05
0.5,0.5,8,1640.8743612794763,187.54535913467407,4.654739e-06
0.5,0.5,10,1642.271295011756,190.0398850440979,6.057489e-07
0.5,0.9,1,1641.8744420606301,189.3016219139099,0.004045798
0.5,0.9,2,1641.0926382646144,187.9159688949585,0.0017303182
0.5,0.9,4,1640.6118151505154,187.0899200439453,0.00011750115
0.5,0.9,6,1639.6599312356745,185.54152250289917,2.3286888e-05
0.5,0.9,8,1642.2608166804825,190.0205373764038,3.8013923e-06
0.5,0.9,10,1642.8149414347463,191.04934930801392,7.341568e-07
0.25,0.0,1,1449.953899094906,185.31408309936523,0.05577828
0.25,0.0,2,1450.551930108476,186.45445108413696,0.0051249084
0.25,0.0,4,1451.876304137453,189.04926776885986,0.00091922394
0.25,0.0,6,1450.8896675482708,187.10702657699585,5.0858842e-05
0.25,0.0,8,1450.3683352564242,186.11000776290894,6.421687e-06
0.25,0.0,10,1450.6780558043336,186.7008924484253,2.1255187e-06
0.25,0.25,1,1450.5203075147688,186.35339736938477,0.09307839
0.25,0.25,2,1451.93675862779,189.17779922485352,0.015929306
0.25,0.25,4,1452.0447639866077,189.3971085548401,0.00030120407
0.25,0.25,6,1451.8601931465432,189.02381658554077,9.1097696e-05
0.25,0.25,8,1450.2799932391085,185.94337701797485,7.874499e-06
0.25,0.25,10,1451.0633079300535,187.4459743499756,2.6623918e-06
0.25,0.5,1,1451.2058566230407,187.73691654205322,0.054654192
0.25,0.5,2,1451.8494814043347,188.9973759651184,0.0041028983
0.25,0.5,4,1451.7665488686966,188.83774280548096,0.00020388387
0.25,0.5,6,1450.4391427235398,186.24348640441895,0.000101242644
0.25,0.5,8,1450.5792967441232,186.51124238967896,1.8404524e-05
0.25,0.5,10,1450.779248197535,186.895751953125,1.2431766e-06
0.25,0.9,1,1451.244650473493,187.79819011688232,0.0067087165
0.25,0.9,2,1451.336351970916,187.98227310180664,0.0018048786
0.25,0.9,4,1451.4514012354484,188.20855617523193,0.00020075792
0.25,0.9,6,1452.3785957965445,190.08299112319946,4.866755e-06
0.25,0.9,8,1450.4850826598226,186.33217811584473,2.0287237e-06
0.25,0.9,10,1451.165404847835,187.64550685882568,4.3517878e-07
0.1,0.0,1,1420.6036156838325,188.4778618812561,0.04701008
0.1,0.0,2,1422.0643064554938,191.34055376052856,0.0039536958
0.1,0.0,4,1420.658900712599,188.61424922943115,0.00046912814
0.1,0.0,6,1419.8084881535126,187.0384693145752,9.73078e-05
0.1,0.0,8,1421.041232252015,189.3441915512085,1.3807701e-05
0.1,0.0,10,1421.0159129908238,189.29537534713745,6.2621993e-06
0.1,0.25,1,1421.2345832437738,189.66083526611328,0.040118817
0.1,0.25,2,1420.0679147472931,187.48217821121216,0.010245784
0.1,0.25,4,1420.603979099299,188.5047435760498,0.00046970567
0.1,0.25,6,1421.8010721198207,190.82285165786743,5.5675893e-05
0.1,0.25,8,1420.755188371231,188.7981653213501,9.376749e-06
0.1,0.25,10,1419.8426548797117,187.10079193115234,3.731098e-06
0.1,0.5,1,1421.1855659412968,189.59461450576782,0.09569925
0.1,0.5,2,1421.679522921082,190.577495098114,0.004874893
0.1,0.5,4,1419.9919000794775,187.37213611602783,0.00093632773
0.1,0.5,6,1418.8538954464136,185.34159660339355,0.00018101944
0.1,0.5,8,1419.395488149258,186.29003763198853,1.7784027e-05
0.1,0.5,10,1419.7187226439262,186.87455654144287,1.1092424e-05
0.1,0.9,1,1420.7514909494741,188.76944780349731,0.010816751
0.1,0.9,2,1420.6745293771612,188.63979578018188,0.0011212599
0.1,0.9,4,1421.2764386519625,189.79511260986328,0.0001220741
0.1,0.9,6,1420.2276774417005,187.809157371521,3.2762026e-05
0.1,0.9,8,1419.6740037757384,186.79348230361938,3.6063743e-06
0.1,0.9,10,1420.3087764369939,187.96048164367676,1.1242037e-06
