test_size,num_layers,mae,variance
0.1,1,150.94421698319283,2.7219872
0.1,2,32.006641138980264,0.18739504
0.1,4,43.49664843107524,0.17069973
0.1,6,38.28719720137747,2.1493866
0.1,8,44.165139995374176,0.8783308
0.1,10,41.58982903731496,0.07537122
0.2,1,160.45532865524294,88.03693
0.2,2,126.85527073542278,59.05072
0.2,4,178.76355285644533,296.71695
0.2,6,174.66073166529338,297.73532
0.2,8,150.76911277770998,2.7974403
0.2,10,140.0460987408956,9.204682
0.5,1,79.18660658774306,203.12332
0.5,2,79.71462889213846,287.58652
0.5,4,74.5450946017365,356.96887
0.5,6,77.60251270730318,249.30171
0.5,8,77.63111775744994,321.88394
0.5,10,83.41875225019314,121.10515
0.8,1,49.10136478661278,444.58337
0.8,2,53.85197858180653,320.70972
0.8,4,47.0285757965088,429.32803
0.8,6,54.878513579684174,86.42056
0.8,8,47.85269044480758,424.42145
0.8,10,48.1706670633108,517.8429
0.9,1,76.22121872075475,12.757693
0.9,2,75.43781113171558,1.6680579
0.9,4,73.16240260865558,31.328627
0.9,6,71.58292291422929,37.611084
0.9,8,74.70574084751941,8.762822
0.9,10,74.98711161658352,9.108779
