num_layers,test_size,mae,variance
1,0.1,0.02594734418573055,0.056599267
1,0.2,0.026026059586174325,0.060085554
1,0.5,0.025609572293954264,0.058613826
1,0.8,0.026363728492931764,0.061932705
1,0.9,0.026428826758945815,0.062918946
2,0.1,0.024466343126914026,0.056715168
2,0.2,0.02495141974208367,0.059819292
2,0.5,0.024591149895003116,0.06009605
2,0.8,0.02364946448854197,0.06256365
2,0.9,0.025038320453987805,0.063068025
4,0.1,0.024912824530219323,0.056546222
4,0.2,0.024619536952655823,0.05959236
4,0.5,0.025470711516590954,0.059136692
4,0.8,0.024809102276341175,0.062168278
4,0.9,0.02516458881629607,0.06329907
6,0.1,0.025883230388179967,0.056528483
6,0.2,0.0253370679993012,0.059578545
6,0.5,0.02593156001715405,0.05904448
6,0.8,0.02532776894429156,0.06274788
6,0.9,0.025767651870103117,0.06397279
8,0.1,0.026236975414773805,0.05618911
8,0.2,0.02733318877019579,0.05976098
8,0.5,0.02664268318261248,0.059055403
8,0.8,0.025406207442447645,0.062332593
8,0.9,0.02662235225122539,0.062728986
10,0.1,0.025778558515798914,0.057151336
10,0.2,0.02567086243436395,0.059856985
10,0.5,0.02531965624247813,0.059853714
10,0.8,0.024874602661080897,0.06207723
10,0.9,0.026122822614026323,0.063608475
