num_layers,test_size,test_mae,test_rmse
1,0.1,10.238203641027212,11.340888015296038
1,0.2,10.645981814900908,11.564249729270703
1,0.5,10.355121812698515,11.328113115428103
1,0.8,10.331817041867401,11.298201848907732
1,0.9,10.37795217724496,11.347985045834289
2,0.1,10.343586518615485,11.462181470844156
2,0.2,11.118813388143913,12.007730428190756
2,0.5,10.0838452425569,11.076206742595085
2,0.8,10.578558705464195,11.555290511160484
2,0.9,10.264768312685192,11.230788146764827
4,0.1,10.573305720090866,11.682902781754308
4,0.2,10.33762271419356,11.228029189166643
4,0.5,10.286284089464733,11.286042999889824
4,0.8,10.068772313621226,11.014066199271026
4,0.9,10.163289608831485,11.113336429774213
6,0.1,10.573920595645905,11.683414388055601
6,0.2,9.722200804118868,10.58728471439623
6,0.5,10.17828363902641,11.184394098223999
6,0.8,11.158229305397105,12.09022589883243
6,0.9,9.804871635155731,10.710198985100014
8,0.1,11.21210448741913,12.263998615329509
8,0.2,10.057303343392626,10.935320426628959
8,0.5,10.693260534845217,11.657827734437102
8,0.8,9.98909012275406,10.924301513584538
8,0.9,10.095715074726705,11.037819224664089
10,0.1,10.940885591506959,12.016544949628598
10,0.2,10.532069939978514,11.432315566343954
10,0.5,9.68569634177468,10.632841229677018
10,0.8,10.191960707306862,11.153150564823449
10,0.9,11.046541309088804,11.976175109781586
12,0.1,10.51443720906973,11.629607251471137
12,0.2,11.257828604571428,12.134403658934898
12,0.5,10.016114822541825,11.002136595213814
12,0.8,11.230449382262893,12.15694351611947
12,0.9,11.173673844069578,12.093538875796085
